Project PSL,Matched Version,Star Count,Fork Count,Static or Dynamic
0-error_Aoftest.dat,Unknown,,,
1Password_passkey-rs.dat,1726103475_public_suffix_list.dat,133,17,Static
aboutcode-org_python-publicsuffix2.dat,1578342945_public_suffix_list.dat,30,15,Dynamic
addr-rs_addr.dat,1615497398_public_suffix_list.dat,51,12,Static
AdguardTeam_AdguardForiOS.dat,1633717553_public_suffix_list.dat,1455,203,Static
adoptium_jdk.dat,1715098327_public_suffix_list.dat,155,23,Static
AdoptOpenJDK_openjdk-jdk.dat,1587716567_public_suffix_list.dat,109,21,Static
alexiscreuzot_Flamingo.dat,1562016652_public_suffix_list.dat,38,10,Static
alkacon_opencms-core.dat,1675890512_public_suffix_list.dat,530,576,Static
alterakey_trueseeing.dat,1679163425_public_suffix_list.dat,60,14,Static
apple_openjdk.dat,1571078334_public_suffix_list.dat,84,22,Static
aws_aws-cdk.dat,1524186622_public_suffix_list.dat,11723,3944,Static
BenWiederhake_domain-word.dat,1563933238_public_suffix_list.dat,42,4,Static
bitwarden_android.dat,1723609528_public_suffix_list.dat,6636,823,Static
bitwarden_ios.dat,1723609528_public_suffix_list.dat,230,28,Static
bitwarden_mobile.dat,1532557869_public_suffix_list.dat,156,25,Static
bitwarden_server.dat,1723609528_public_suffix_list.dat,15313,1325,Static
boostorg_url.dat,1665767640_public_suffix_list.dat,186,51,Static
BrowserWorks_Waterfox.dat,Unknown,,,
ByConity_ByConity.dat,1606773323_public_suffix_list.dat,2255,333,Dynamic
Bywalks_DarkAngel.dat,Unknown,,,
certtools_intelmq.dat,Unknown,,,
chenghanpeng_jdk11u.dat,1527128766_public_suffix_list.dat,33,13,Static
Cimbali_CleanLinks.dat,1581803967_public_suffix_list.dat,77,2,dynamic
ClickHouse_ClickHouse.dat,1606773323_public_suffix_list.dat,37976,6958,Dynamic
codehag_compiler-compiler-dev.dat,Unknown,,,
coderman64_netsurf-3ds.dat,1702464324_public_suffix_list.dat,75,1,Dynamic
coolsnowwolf_gargoyle.dat,Unknown,,,
coreruleset_ftw.dat,1605660342_public_suffix_list.dat,127,37,Static
corretto_corretto-11.dat,1699030037_public_suffix_list.dat,672,107,Static
corretto_corretto-17.dat,1715098327_public_suffix_list.dat,217,51,Static
corretto_corretto-21.dat,1715098327_public_suffix_list.dat,74,21,Static
corretto_corretto-jdk.dat,1715098327_public_suffix_list.dat,149,29,Static
CTF-MissFeng_bayonet.dat,Unknown,,,
CTF-MissFeng_Watchdog.dat,Unknown,,,
Dashlane_SwiftDomainParser.dat,Unknown,,,
datablade-io_daisy.dat,1606773323_public_suffix_list.dat,33,7,Dynamic
datackmy_FallingSkies-CVE-2023-35885.dat,1644916570_public_suffix_list.dat,58,17,Static
dfinity_ic.dat,Unknown,,,
djblets_djblets.dat,1472257765_public_suffix_list.dat,319,73,Static
DNS-OARC_dsc.dat,1583194324_public_suffix_list.dat,110,25,Dynamic
dragonwell-project_dragonwell11.dat,1699030037_public_suffix_list.dat,564,115,Static
dragonwell-project_dragonwell17.dat,1699030037_public_suffix_list.dat,301,42,Static
dsa28s_android-studio-apple-m1.dat,1587716567_public_suffix_list.dat,247,7,Static
du5_gfwlist.dat,1582681895_public_suffix_list.dat,31,16,Static
Echocipher_AUTO-EARN.dat,Unknown,,,
elliotwutingfeng_go-fasttld.dat,Unknown,,,
fgont_ipv6toolkit.dat,1515730215_public_suffix_list.dat,260,68,Static
firewalla_firewalla.dat,1606040365_public_suffix_list.dat,552,129,Static
fit-project_fit.dat,1620747796_public_suffix_list.dat,69,9,Static
Floorp-Projects_Floorp.dat,Unknown,,,
Funsiooo_chunsou.dat,Unknown,,,
goastian_midori-desktop.dat,Unknown,,,
goccy_go-zetasql.dat,Unknown,,,
GoogleChrome_related-website-sets.dat,1576876567_public_suffix_list.dat,450,573,Static
gorhill_publicsuffixlist.js.dat,1645644824_public_suffix_list.dat,98,14,Dynamic
GroundCTL2MajorTom_fsmscan.dat,Unknown,,,
gumob_TLDExtractSwift.dat,Unknown,,,
HadessCS_Artemis.dat,1620747796_public_suffix_list.dat,63,7,Static
harshita214_Chrome-Extension.dat,1580608689_public_suffix_list.dat,140,125,Static
HiGarfield_lede-17.01.4-Mod.dat,Unknown,,,
hoprnet_hoprnet.dat,1604681260_public_suffix_list.dat,214,91,Static
HotswapProjects_openjdk-jdk11u-dcevm.dat,1587716567_public_suffix_list.dat,31,11,Static
IBM_data-privacy-toolkit.dat,Unknown,,,
ice-doom_EyeJo.dat,Unknown,,,
internetstandards_Internet.nl.dat,1683237144_public_suffix_list.dat,180,37,Dynamic
Intsights_PyDomainExtractor.dat,1693097221_public_suffix_list.dat,65,6,Static
j3ssie_go-auxs.dat,1613075665_public_suffix_list.dat,81,25,Static
Jackarain_proxy.dat,1665767640_public_suffix_list.dat,206,85,Static
jameszaghini_floaty.dat,1538584495_public_suffix_list.dat,36,8,Static
jeremykendall_php-domain-parser.dat,1644916570_public_suffix_list.dat,1170,127,Dynamic
JetBrains_JetBrainsRuntime.dat,1715098327_public_suffix_list.dat,1368,200,Static
